No,product_id,name,original_price,discount,sale_price,product_url,image_url
176,post-111021,"Wall-Mounted Extension Wire Organizer",₨ 200,-35%,₨ 130,https://ebuy.pk/product/wall-mounted-extension-wire-organizer/,https://ebuy.pk/wp-content/uploads/Extension-Wire-Organizer-Online-At-Best-Price-In-Pakistan-247x307.jpg
62,post-111234,"Silicone Back Bath Scrubber",₨ 500,-40%,₨ 300,https://ebuy.pk/product/silicone-back-bath-scrubber/,https://ebuy.pk/wp-content/uploads/Silicone-Back-Bath-Scrubber-Online-At-Best-Price-In-Pakistan-247x307.jpg
175,post-111324,"Hand Press Food Chopper","₨ 3,000",-27%,"₨ 2,200",https://ebuy.pk/product/hand-press-food-chopper/,https://ebuy.pk/wp-content/uploads/Hand-Press-Food-Chopper-Online-At-Best-Price-In-Pakistan-247x307.jpg
60,post-112147,"Press Pop-Up Toothpick Dispenser",₨ 450,-42%,₨ 260,https://ebuy.pk/product/press-pop-up-toothpick-dispenser/,https://ebuy.pk/wp-content/uploads/Press-Pop-Up-Toothpick-Dispenser-Online-In-Pakistan-247x307.jpg
155,post-114511,"Jade Roller Gua Sha Stone","₨ 1,000",-20%,₨ 800,https://ebuy.pk/product/jade-roller-gua-sha-stone/,https://ebuy.pk/wp-content/uploads/Jade-Roller-Gua-Sha-Stone-In-Pakistan-247x307.jpg
59,post-118477,"Remington Ceramic Hair Crimper","₨ 3,000",-13%,"₨ 2,600",https://ebuy.pk/product/remington-ceramic-hair-crimper/,https://ebuy.pk/wp-content/uploads/Remington-Ceramic-Hair-Crimper-Online-In-Pakistan-247x307.jpg
58,post-119497,"Automatic Bubble Blowing Machine",₨ 800,-25%,₨ 600,https://ebuy.pk/product/automatic-bubble-blowing-machine/,https://ebuy.pk/wp-content/uploads/Automatic-Bubble-Blowing-Machine-Online-In-Pakistan-247x307.jpg
139,post-120060,"Face Slimming Roller Massager",₨ 900,-33%,₨ 600,https://ebuy.pk/product/face-slimming-roller-massager/,https://ebuy.pk/wp-content/uploads/Face-Slimming-Roller-Massager-1-247x307.jpg
174,post-120300,"Dancing And Talking Cactus","₨ 3,600",-39%,"₨ 2,200",https://ebuy.pk/product/dancing-and-talking-cactus/,https://ebuy.pk/wp-content/uploads/Dancing-And-Talking-Cactus-Online-In-Pakistan-247x307.jpg
154,post-123075,"2 in 1 Facial Cleansing Brush",₨ 500,-24%,₨ 380,https://ebuy.pk/product/2-in-1-facial-cleansing-brush/,https://ebuy.pk/wp-content/uploads/2-in-1-Facial-Cleansing-Brush-Online-In-Pakistan-247x307.jpg
